As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance
27-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,72000
28-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,42000
01-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,53000
02-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,64000
07-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,56000
08-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,58000
10-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,66000
11-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,61000
12-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,49000
14-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,56000
16-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
17-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,65000
19-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,47000
21-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,42000
24-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,70000
25-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
26-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,66000
28-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,41000
29-07-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,59000
01-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,58000
03-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,66000
04-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,68000
05-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,46000
06-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,76000
07-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
09-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,51000
10-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
11-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,58000
14-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,57000
17-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,61000
19-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
21-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
22-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
24-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
29-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,63000
30-08-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
01-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,49000
02-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,50000
04-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,59000
06-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,60000
10-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
12-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,61000
14-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,64000
19-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,72000
21-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,63000
22-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,67000
23-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
24-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
25-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
27-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,43000
30-09-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,58000
01-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,60000
02-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,70000
03-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,60000
04-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,48000
07-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,58000
10-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
12-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
13-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,75000
15-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,67000
18-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
22-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,70000
24-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,54000
26-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,52000
27-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,47000
28-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,46000
30-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,54000
31-10-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,51000
03-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
05-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,75000
06-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,72000
09-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,67000
11-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,68000
12-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,59000
13-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
15-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
16-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,59000
18-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,60000
19-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,76000
22-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
28-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,62000
29-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,47000
30-11-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,69000
01-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
02-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
03-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
05-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,51000
07-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,68000
08-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,43000
10-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,60000
12-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,41000
17-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,52000
20-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
21-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,61000
22-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,52000
24-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
26-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
28-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
29-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,64000
31-12-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,53000
01-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
02-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,59000
03-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,58000
04-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,63000
08-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,51000
09-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,68000
10-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,45000
11-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
12-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
16-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,71000
17-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,48000
18-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,59000
20-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,65000
21-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,48000
22-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,48000
23-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,66000
24-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,46000
25-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,55000
28-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,60000
30-01-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,48000
01-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,60000
02-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,50000
03-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,62000,56000
08-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,47000
09-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,68000
11-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,61000
13-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,53000
17-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,62000
18-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
19-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,55000
20-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
21-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,38000
22-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,54000
24-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,58000
27-02-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,45000
01-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,72000
03-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,53000
04-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
08-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
09-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
10-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,52000
12-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,60000
13-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
16-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
18-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,52000
19-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,73000
21-03-2025,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
22-03-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,33000,42000
23-03-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,30000,36000
25-03-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,28000,28000
29-03-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,28000,34000
01-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,34000,40000
02-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,29000,29000
04-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,30000,27000
07-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,32000,41000
08-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,31000,31000
09-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,31000,33000
11-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,29000,29000
14-04-2024,Doyle Ltd,740,4457,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,29000,22000
