Company,Account,AU,Primary Account,Secondary Account,GL Balance,iHub Balance,Balance Difference,predicted_label,anomaly_score,anomaly_bucket,Bucket Description
Wright and Sons,407,5467,COMMERCIAL LOANS,INTEREST RECEIVABLE,60000,77000,-17000,Anomaly,-0.0080244509523405,11.0,"No clear pattern, but deviation exceeds threshold"
Williams PLC,710,2130,COMMERCIAL LOANS,INTEREST RECEIVABLE,41000,33000,8000,Anomaly,-0.007562916020961152,2.0,Consistent increase or decrease in outstanding balances
Novak and Sons,142,8497,ALL LOB LOANS,PRINCIPAL,39000,39000,0,Anomaly,-0.023028067981165856,1.0,Inconsistent variations in outstanding balances
Russell Group,752,6611,RETAIL LOANS,PRINCIPAL,44000,37000,7000,Anomaly,-0.04701250571496418,2.0,Consistent increase or decrease in outstanding balances
Hancock Inc,285,1887,COMMERCIAL LOANS,PRINCIPAL,53000,53000,0,Anomaly,-0.0031601749691080316,1.0,Inconsistent variations in outstanding balances
Henderson-Bernard,521,2834,RETAIL LOANS,DEFERRED COSTS,92000,83000,9000,Anomaly,-0.008169622599784043,2.0,Consistent increase or decrease in outstanding balances
"Stanley, Tucker and Lee",462,5805,COMMERCIAL LOANS,PRINCIPAL,86000,69000,17000,Anomaly,-0.03137624586165,5.0,Gradual deviation beyond threshold over multiple periods
Novak PLC,629,3696,ALL LOB LOANS,DEFERRED COSTS,77000,93000,-16000,Anomaly,-0.011991024198408806,11.0,"No clear pattern, but deviation exceeds threshold"
"Daniels, Adkins and Brown",374,5389,COMMERCIAL LOANS,PRINCIPAL,41000,34000,7000,Anomaly,-0.013546153992085586,2.0,Consistent increase or decrease in outstanding balances
"Woods, Calhoun and Schmidt",476,5284,COMMERCIAL LOANS,DEFERRED COSTS,96000,108000,-12000,Anomaly,-0.019159538591651093,8.0,Reversal or correction entry detected
Yu Inc,484,8330,ALL LOB LOANS,DEFERRED COSTS,52000,52000,0,Anomaly,-0.005962136552188357,1.0,Inconsistent variations in outstanding balances
"Hensley, Powell and David",264,8778,COMMERCIAL LOANS,INTEREST RECEIVABLE,91000,76000,15000,Anomaly,-0.039484239906576346,5.0,Gradual deviation beyond threshold over multiple periods
Donovan-Harris,839,5669,COMMERCIAL LOANS,DEFERRED COSTS,82000,95000,-13000,Anomaly,-0.02071044550393486,8.0,Reversal or correction entry detected
Smith PLC,399,2601,COMMERCIAL LOANS,PRINCIPAL,93000,97000,-4000,Anomaly,-0.01229375357323892,1.0,Inconsistent variations in outstanding balances
"Ferrell, Jones and Lewis",124,3303,ALL LOB LOANS,DEFERRED COSTS,52000,67000,-15000,Anomaly,-0.05122072054568305,11.0,"No clear pattern, but deviation exceeds threshold"
Suarez LLC,813,8148,ALL LOB LOANS,DEFERRED COSTS,55000,41000,14000,Anomaly,-0.0027204163595923037,4.0,Outstanding balances are not in line with previous months
Moore-Bass,260,9772,RETAIL LOANS,PRINCIPAL,53000,54000,-1000,Anomaly,-0.020013174724624383,1.0,Inconsistent variations in outstanding balances
"Turner, Riggs and Roman",349,9219,COMMERCIAL LOANS,DEFERRED COSTS,85000,109000,-24000,Anomaly,-0.013264245970764033,7.0,High volatility in account balances over time
Campbell-Clark,917,1465,COMMERCIAL LOANS,DEFERRED COSTS,97000,99000,-2000,Anomaly,-0.016325822288571268,1.0,Inconsistent variations in outstanding balances
Davis Group,313,7389,RETAIL LOANS,INTEREST RECEIVABLE,77000,77000,0,Anomaly,-0.03522045039706134,1.0,Inconsistent variations in outstanding balances
Walsh LLC,906,9169,ALL LOB LOANS,PRINCIPAL,59000,74000,-15000,Anomaly,-0.027246417179273452,11.0,"No clear pattern, but deviation exceeds threshold"
