As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance
24-03-2025,"Watts, Robinson and Nguyen",735,2415,USD,ALL LOB LOANS,DEFERRED COSTS,101000,110000
24-03-2025,Perez Inc,612,7671,USD,RETAIL LOANS,INTEREST RECEIVABLE,77000,77000
24-03-2025,Morales-Jones,567,7273,USD,RETAIL LOANS,INTEREST RECEIVABLE,37000,38000
24-03-2025,"Walter, Edwards and Rios",354,3900,USD,COMMERCIAL LOANS,PRINCIPAL,57000,60000
24-03-2025,Wilkerson-Day,482,1102,USD,COMMERCIAL LOANS,DEFERRED COSTS,64000,64000
24-03-2025,Baker and Sons,416,4497,USD,RETAIL LOANS,DEFERRED COSTS,87000,87000
24-03-2025,"Hoffman, Baker and Richards",565,1810,USD,COMMERCIAL LOANS,PRINCIPAL,32000,35000
24-03-2025,"Ross, Robinson and Bright",117,9704,USD,ALL LOB LOANS,INTEREST RECEIVABLE,90000,117000
24-03-2025,"Snyder, Campos and Callahan",393,7513,USD,ALL LOB LOANS,DEFERRED COSTS,85000,85000
24-03-2025,Burton Ltd,141,3522,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,22000,27000
24-03-2025,Carlson-Cruz,964,6051,USD,ALL LOB LOANS,PRINCIPAL,58000,51000
24-03-2025,"Ferrell, Rice and Maddox",745,5713,USD,ALL LOB LOANS,INTEREST RECEIVABLE,40000,40000
24-03-2025,Frazier Inc,313,8171,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,60000,60000
24-03-2025,"Dyer, Potter and Mack",736,5713,USD,RETAIL LOANS,PRINCIPAL,94000,94000
24-03-2025,Rodriguez-Graham,791,5755,USD,COMMERCIAL LOANS,DEFERRED COSTS,63000,63000
24-03-2025,Smith-Bowen,977,3649,USD,RETAIL LOANS,DEFERRED COSTS,43000,43000
24-03-2025,"Baker, Mason and White",799,3960,USD,ALL LOB LOANS,PRINCIPAL,99000,99000
24-03-2025,Harrell LLC,604,7953,USD,COMMERCIAL LOANS,PRINCIPAL,20000,15000
24-03-2025,"Romero, Gonzalez and Brooks",595,8744,USD,COMMERCIAL LOANS,PRINCIPAL,73000,73000
24-03-2025,Ryan PLC,545,7208,USD,RETAIL LOANS,INTEREST RECEIVABLE,57000,59000
24-03-2025,George Group,816,3394,USD,RETAIL LOANS,DEFERRED COSTS,28000,21000
24-03-2025,Rodriguez LLC,120,9557,USD,COMMERCIAL LOANS,DEFERRED COSTS,95000,94000
24-03-2025,Allen-Allen,824,4339,USD,RETAIL LOANS,DEFERRED COSTS,86000,86000
24-03-2025,"Arroyo, Miller and Tucker",774,7318,USD,RETAIL LOANS,DEFERRED COSTS,98000,100000
24-03-2025,Spence PLC,754,6274,USD,ALL LOB LOANS,PRINCIPAL,48000,53000
24-03-2025,Anderson Group,900,1533,USD,RETAIL LOANS,DEFERRED COSTS,68000,68000
24-03-2025,"Martin, Rose and Obrien",428,7969,USD,ALL LOB LOANS,INTEREST RECEIVABLE,34000,24000
24-03-2025,Hickman Ltd,900,5250,USD,RETAIL LOANS,DEFERRED COSTS,88000,65000
24-03-2025,"Harris, Collins and Carney",386,2994,USD,ALL LOB LOANS,DEFERRED COSTS,26000,26000
24-03-2025,"Brooks, Lam and Hayes",495,6881,USD,RETAIL LOANS,INTEREST RECEIVABLE,58000,64000
24-03-2025,Walker LLC,930,9865,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,48000,48000
24-03-2025,Chapman and Sons,897,5857,USD,ALL LOB LOANS,INTEREST RECEIVABLE,96000,94000
24-03-2025,"Robinson, Jones and Welch",675,6838,USD,RETAIL LOANS,INTEREST RECEIVABLE,69000,66000
24-03-2025,Jones Inc,331,1376,USD,COMMERCIAL LOANS,DEFERRED COSTS,74000,74000
24-03-2025,Jones-Young,261,2300,USD,ALL LOB LOANS,DEFERRED COSTS,28000,28000
24-03-2025,"Washington, Ryan and Cummings",118,4195,USD,RETAIL LOANS,DEFERRED COSTS,30000,30000
24-03-2025,"Johnston, Sanchez and Kennedy",577,1137,USD,ALL LOB LOANS,PRINCIPAL,33000,32000
24-03-2025,Lee-Davis,874,9100,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,71000,87000
24-03-2025,Gomez-Jenkins,238,4324,USD,RETAIL LOANS,INTEREST RECEIVABLE,30000,30000
24-03-2025,"Brown, Valdez and Lucas",798,9951,USD,ALL LOB LOANS,PRINCIPAL,85000,85000
24-03-2025,Powell LLC,931,1997,USD,COMMERCIAL LOANS,PRINCIPAL,97000,97000
24-03-2025,Wright and Sons,407,5467,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,48000,40000
24-03-2025,"West, Henderson and Ramirez",199,7225,USD,RETAIL LOANS,INTEREST RECEIVABLE,78000,55000
24-03-2025,Baxter Inc,902,5636,USD,RETAIL LOANS,DEFERRED COSTS,68000,68000
24-03-2025,Morton-Chase,946,3474,USD,RETAIL LOANS,PRINCIPAL,76000,76000
24-03-2025,Williams PLC,710,2130,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,96000,78000
24-03-2025,Novak and Sons,142,8497,USD,ALL LOB LOANS,PRINCIPAL,53000,53000
24-03-2025,Russell Group,752,6611,USD,RETAIL LOANS,PRINCIPAL,83000,61000
24-03-2025,Hancock Inc,285,1887,USD,COMMERCIAL LOANS,PRINCIPAL,83000,83000
24-03-2025,Gray Group,843,2833,USD,ALL LOB LOANS,PRINCIPAL,37000,37000
24-03-2025,House-Glover,617,8224,USD,COMMERCIAL LOANS,PRINCIPAL,41000,50000
24-03-2025,Henderson-Bernard,521,2834,USD,RETAIL LOANS,DEFERRED COSTS,67000,67000
24-03-2025,"Stanley, Tucker and Lee",462,5805,USD,COMMERCIAL LOANS,PRINCIPAL,53000,40000
24-03-2025,Novak PLC,629,3696,USD,ALL LOB LOANS,DEFERRED COSTS,98000,84000
24-03-2025,"Daniels, Adkins and Brown",374,5389,USD,COMMERCIAL LOANS,PRINCIPAL,58000,64000
24-03-2025,"Woods, Calhoun and Schmidt",476,5284,USD,COMMERCIAL LOANS,DEFERRED COSTS,59000,59000
24-03-2025,Yu Inc,484,8330,USD,ALL LOB LOANS,DEFERRED COSTS,27000,27000
24-03-2025,Jones Inc,644,7657,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,103000,85000
24-03-2025,"Hensley, Powell and David",264,8778,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,51000,38000
24-03-2025,"Sanchez, Wheeler and Harvey",259,3666,USD,COMMERCIAL LOANS,DEFERRED COSTS,51000,61000
24-03-2025,Sandoval-Cunningham,336,3246,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,61000,61000
24-03-2025,Donovan-Harris,839,5669,USD,COMMERCIAL LOANS,DEFERRED COSTS,81000,81000
24-03-2025,"Edwards, Baker and Anderson",892,1719,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,64000,79000
24-03-2025,"Evans, Stewart and Walton",153,1302,USD,COMMERCIAL LOANS,PRINCIPAL,50000,52000
24-03-2025,Smith PLC,399,2601,USD,COMMERCIAL LOANS,PRINCIPAL,53000,48000
24-03-2025,"Ferrell, Jones and Lewis",124,3303,USD,ALL LOB LOANS,DEFERRED COSTS,55000,68000
24-03-2025,Anderson-Bailey,844,6695,USD,RETAIL LOANS,DEFERRED COSTS,24000,21000
24-03-2025,Suarez LLC,813,8148,USD,ALL LOB LOANS,DEFERRED COSTS,20000,26000
24-03-2025,Moore-Bass,260,9772,USD,RETAIL LOANS,PRINCIPAL,43000,43000
24-03-2025,"Turner, Riggs and Roman",349,9219,USD,COMMERCIAL LOANS,DEFERRED COSTS,77000,98000
24-03-2025,"Smith, Montoya and Evans",306,2960,USD,RETAIL LOANS,PRINCIPAL,40000,40000
24-03-2025,"Garcia, Humphrey and Baker",595,7709,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,97000,70000
24-03-2025,Newton and Sons,140,5476,USD,COMMERCIAL LOANS,PRINCIPAL,73000,73000
24-03-2025,Campbell-Clark,917,1465,USD,COMMERCIAL LOANS,DEFERRED COSTS,27000,23000
24-03-2025,Harris-Walters,807,8307,USD,RETAIL LOANS,DEFERRED COSTS,32000,32000
24-03-2025,Wagner-King,493,1369,USD,COMMERCIAL LOANS,INTEREST RECEIVABLE,80000,80000
24-03-2025,Davis Group,313,7389,USD,RETAIL LOANS,INTEREST RECEIVABLE,55000,55000
24-03-2025,Williams-Cook,643,8434,USD,COMMERCIAL LOANS,PRINCIPAL,47000,54000
24-03-2025,Walsh LLC,906,9169,USD,ALL LOB LOANS,PRINCIPAL,67000,74000
